['Step', 'FENEBond', 'AngleForce', 'SelfAvoidance', 'CustomTypes', 'IdealChromosome']
400000,55388.076,2786.627,539.061,-3853.915,-998.552
401000,55405.151,2816.149,495.343,-3816.510,-1013.349
402000,55430.633,2836.486,537.450,-3824.581,-986.906
403000,55369.318,2850.375,528.758,-3820.365,-1004.287
404000,55417.507,2925.912,451.845,-3764.990,-1003.818
405000,55308.756,2893.108,528.802,-3859.738,-1048.268
406000,55411.446,2905.134,568.281,-3820.800,-1030.145
407000,55380.470,2897.700,556.393,-3818.359,-1043.538
408000,55341.303,2886.058,500.783,-3766.125,-1020.524
409000,55372.979,2922.852,587.218,-3891.716,-1031.241
410000,55388.154,2872.716,559.689,-3855.919,-1016.158
411000,55448.116,2810.643,468.903,-3781.808,-999.657
412000,55315.140,2939.373,556.630,-3901.411,-1035.529
413000,55389.056,2923.776,580.711,-3937.456,-1072.888
414000,55394.976,2815.868,632.205,-3903.469,-1036.967
415000,55361.612,2799.542,552.719,-3894.973,-1006.744
416000,55330.715,2847.241,505.688,-3804.519,-990.958
417000,55388.220,2883.741,589.485,-3908.196,-1045.128
418000,55427.250,2904.880,613.845,-3967.005,-1010.004
419000,55439.438,2890.027,558.912,-3924.277,-1017.619
420000,55389.416,2836.145,499.076,-3737.643,-1003.067
421000,55354.987,2886.641,671.152,-3914.747,-1051.454
422000,55473.566,2902.685,572.791,-3904.170,-1023.846
423000,55383.043,2839.652,559.099,-3857.183,-993.766
424000,55383.871,2833.278,536.146,-3845.267,-996.598
425000,55353.266,2862.618,538.228,-3799.062,-986.044
426000,55363.694,2864.269,540.229,-3881.149,-1008.819
427000,55379.308,2906.917,593.210,-3800.151,-1004.770
428000,55423.690,2880.285,647.186,-3927.632,-1013.262
429000,55358.017,2815.025,618.287,-3972.214,-1006.394
430000,55415.759,2854.276,496.716,-3823.220,-1021.729
431000,55372.691,2907.967,519.979,-3794.413,-1008.178
432000,55411.045,2853.968,572.907,-3878.896,-1030.508
433000,55349.604,2833.584,610.194,-3904.213,-1003.878
434000,55445.736,2882.204,541.631,-3887.176,-1029.203
435000,55383.205,2831.111,532.479,-3886.604,-976.016
436000,55409.778,2887.082,590.647,-3907.008,-1016.921
437000,55440.222,2910.355,564.384,-3906.019,-1008.113
438000,55433.961,2829.647,502.026,-3830.754,-1012.669
439000,55456.264,2845.232,535.818,-3851.365,-1008.395
440000,55467.188,2878.235,603.703,-3922.585,-1028.226
441000,55459.995,2907.363,609.020,-3830.446,-1028.092
442000,55355.061,2922.976,563.472,-3872.332,-1040.285
443000,55368.746,2874.518,607.678,-3888.599,-1009.655
