#Step,RG,Etotal,Epot,Ekin,Temperature

400000,8.880,21.653,20.128,1.525,1.017
401000,8.931,21.645,20.137,1.507,1.005
402000,8.922,21.662,20.177,1.486,0.990
403000,8.888,21.618,20.151,1.467,0.978
404000,8.887,21.661,20.189,1.471,0.981
405000,8.856,21.631,20.113,1.518,1.012
406000,8.845,21.694,20.192,1.502,1.001
407000,8.832,21.700,20.169,1.531,1.020
408000,8.858,21.691,20.158,1.534,1.022
409000,8.781,21.666,20.164,1.502,1.001
410000,8.801,21.641,20.160,1.480,0.987
411000,8.827,21.651,20.159,1.491,0.994
412000,8.738,21.633,20.132,1.501,1.001
413000,8.719,21.613,20.136,1.477,0.985
414000,8.743,21.649,20.143,1.506,1.004
415000,8.793,21.615,20.109,1.506,1.004
416000,8.819,21.622,20.138,1.485,0.990
417000,8.729,21.653,20.145,1.508,1.005
418000,8.668,21.633,20.168,1.465,0.977
419000,8.728,21.669,20.159,1.510,1.007
420000,8.849,21.693,20.173,1.519,1.013
421000,8.743,21.688,20.159,1.528,1.019
422000,8.714,21.693,20.187,1.506,1.004
423000,8.769,21.689,20.154,1.535,1.024
424000,8.778,21.647,20.146,1.500,1.000
425000,8.799,21.639,20.168,1.471,0.981
426000,8.777,21.698,20.134,1.564,1.043
427000,8.803,21.731,20.207,1.524,1.016
428000,8.700,21.636,20.183,1.453,0.969
429000,8.700,21.642,20.109,1.532,1.021
430000,8.783,21.656,20.150,1.505,1.004
431000,8.763,21.660,20.179,1.481,0.987
432000,8.694,21.678,20.153,1.525,1.017
433000,8.656,21.634,20.137,1.498,0.998
434000,8.692,21.628,20.162,1.466,0.977
435000,8.661,21.645,20.136,1.509,1.006
436000,8.667,21.641,20.166,1.475,0.983
437000,8.665,21.681,20.180,1.501,1.001
438000,8.677,21.621,20.150,1.471,0.980
439000,8.655,21.705,20.171,1.534,1.023
440000,8.621,21.706,20.179,1.527,1.018
441000,8.704,21.738,20.223,1.515,1.010
442000,8.709,21.673,20.153,1.521,1.014
443000,8.686,21.665,20.162,1.503,1.002
444000,8.627,21.674,20.140,1.534,1.022
445000,8.641,21.640,20.165,1.474,0.983
446000,8.692,21.627,20.145,1.482,0.988
447000,8.715,21.639,20.141,1.499,0.999
448000,8.779,21.594,20.114,1.480,0.987
449000,8.753,21.562,20.099,1.462,0.975
450000,8.779,21.601,20.127,1.474,0.983
451000,8.740,21.681,20.141,1.539,1.026
